;Total Volume
0;64236.62
1;54876.98
2;118220.22
3;78992.15
4;51039.6
5;55979.78
6;83453.76
7;109428.33
8;99811.42
9;74338.76
10;84843.44
11;64489.17
12;61007.1
13;106803.39
14;69759.01
15;76111.27
16;99172.96
17;105693.84
18;79992.09
19;80043.78
20;111140.93
21;75133.1
22;106757.1
23;96617.0
24;124055.31
25;109252.12
26;89534.81
27;104849.39
28;89631.3
29;122743.06
30;95123.62
31;101470.91
32;109857.47
33;120427.91
34;59197.67
35;49585.46
36;49064.73
37;48364.29
38;47362.13
39;67799.08
40;46346.85
41;43045.79
42;40507.36
43;55595.74
44;45675.05
45;41567.62
46;51253.97
47;70873.6
48;45147.5
49;44511.28
50;41195.08
51;40873.28
0;386100.49
1;331377.53
2;417772.47
3;357636.82
4;333280.79
5;356414.57
6;339860.68
7;334041.6
8;419088.74
9;358478.08
10;349072.48
11;433874.46
12;418682.26
13;370321.17
14;516432.6
15;417232.18
16;472136.53
17;382972.72
18;379054.29
19;465213.81
20;503791.72
21;405898.44
22;437377.75
23;557212.99
24;407204.88
25;562462.33
26;435210.71
27;554763.76
28;465804.78
29;551009.05
30;454702.0
31;623212.04
32;451250.7
33;480071.18
34;634213.1
35;448596.76
36;430966.34
37;451101.89
38;383139.49
39;365722.14
40;479590.62
41;399566.22
42;420826.32
43;512532.44
44;431308.56
45;427391.28
46;433883.91
47;636771.37
48;449332.85
49;431490.99
50;397542.72
51;435021.49
0;596819.4
1;642682.4
2;619509.33
3;649141.25
4;545800.05
5;572019.8
6;718330.48
7;830967.23
8;742220.67
9;656892.03
10;1005603.78
11;653560.14
12;657444.04
13;696281.81
14;709268.62
15;924993.61
16;823623.36
17;734721.29
18;783935.36
19;882754.72
20;821523.45
21;800603.23
22;772926.12
23;800194.34
24;850931.58
25;896298.77
26;862261.64
27;862840.73
28;955046.82
29;794310.29
30;949177.06
31;908661.83
32;790853.86
33;855205.82
34;896972.05
35;747841.09
36;762862.62
37;837629.62
38;688065.45
39;663677.32
40;808897.21
41;693698.13
42;657745.9
43;770115.24
44;749845.79
45;637319.34
46;844931.21
